gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS00185	561.8680483729678	-5.202681964371674	0.21228603668004095	-24.50788589648595	1.2171990989984072e-132	3.7296817674970054e-131	WP_004264749.1	NA	sigma factor G inhibitor Gin	130.42832822248516	Down	NA
gene-ACSAL1_RS16015	1371.2823162310194	4.534655238283672	0.1850366694508673	24.5067923657573	1.2503161013331028e-132	3.795352053392446e-131	WP_017418880.1	gntK	gluconokinase	130.42074793314023	Up	NA
gene-ACSAL1_RS10550	495.1961092996259	-6.016291722115883	0.24614604512322535	-24.441959728030625	6.127427390155771e-132	1.8427670521505503e-130	WP_003153485.1	qcrB	menaquinol-cytochrome c reductase cytochrome b subunit	129.73452956134074	Down	NA
gene-ACSAL1_RS15620	2553.7847734150455	-4.379155678467193	0.17924052618430414	-24.43172742064105	7.871413208842371e-132	2.345536706634864e-130	WP_025649280.1	NA	hypothetical protein	129.62975776614286	Down	NA
gene-ACSAL1_RS01230	1691.1592599680675	-4.155314334361359	0.1701628400500673	-24.419634352240088	1.0581556106703058e-131	3.124444930415594e-130	WP_007408988.1	NA	DUF4879 domain-containing protein	129.50522712554206	Down	NA
gene-ACSAL1_RS03010	1740.6961946394465	-5.319763060058924	0.21787450161242733	-24.41663903159327	1.138589039785105e-131	3.3316551362360544e-130	WP_209387942.1	NA	serine hydrolase	129.47733995930037	Down	NA
gene-ACSAL1_RS09350	534.9211437621739	-5.803189950303186	0.23962960025541127	-24.217333518554497	1.4612580591172745e-129	4.237648371440097e-128	WP_209388297.1	bamC	bacillomycin D non-ribosomal peptide synthetase BamC	127.37287508270754	Down	NA
gene-ACSAL1_RS05020	2362.097975607885	-4.651932381419587	0.19237497028084052	-24.181588564398044	3.475639426983667e-129	9.990156512250399e-128	WP_012117190.1	NA	YheE family protein	127.0004277077826	Down	NA
gene-ACSAL1_RS17620	1064.3571519801103	5.4531003673337555	0.2263958110623296	24.0865780234443	3.45599037607835e-128	9.846541001317963e-127	WP_007407643.1	NA	hypothetical protein	126.00671630634181	Up	NA
gene-ACSAL1_RS05080	1228.047297271273	-4.432094049797036	0.1843462234459259	-24.04222862258471	1.0066243231468728e-127	2.8430572187661244e-126	WP_007409232.1	NA	enoyl-CoA hydratase	125.54621439970305	Down	NA
gene-ACSAL1_RS16515	4792.3520152841	-4.310814952680104	0.17961254845836783	-24.00063352856052	2.738750503187667e-127	7.668501408925467e-126	WP_209387633.1	NA	PEP/pyruvate-binding domain-containing protein	125.11528949829656	Down	NA
gene-ACSAL1_RS00070	6560.695148610573	-3.594941403303482	0.15025847728309494	-23.925048811258893	1.6808248177836915e-126	4.6660846223601966e-125	WP_003150717.1	guaB	IMP dehydrogenase	124.33104738926905	Down	NA
gene-ACSAL1_RS19490	561.8606531398301	-4.956804417139788	0.20776949353014337	-23.85722914813117	8.519881819402478e-126	2.345133571984682e-124	WP_209387365.1	NA	HNH endonuclease	123.62983241609439	Down	NA
gene-ACSAL1_RS09585	993.5959021439808	5.651574961305816	0.23724175076135232	23.82200832344591	1.9757353582312683e-125	5.392595330701815e-124	WP_017417943.1	proB	glutamate 5-kinase	123.26820216866736	Up	proB
gene-ACSAL1_RS09320	464.32191513335385	-5.161210575933284	0.21741878563242645	-23.73856776414414	1.4420888003276336e-124	3.9032536862201285e-123	WP_209388294.1	NA	cellulase family glycosylhydrolase	122.40857322147173	Down	NA
gene-ACSAL1_RS17820	442.4320747035673	-5.2109947062982025	0.22025113390945647	-23.659332026142497	9.461472563834582e-124	2.539740734490473e-122	WP_022553947.1	pruA	L-glutamate gamma-semialdehyde dehydrogenase	121.59521061539861	Down	NA
gene-ACSAL1_RS11960	1108.303836808504	-5.428038939150272	0.2301860585710187	-23.5810933678921	6.02523982434615e-123	1.604096635202975e-121	WP_003152999.1	cccA	cytochrome c550	120.79476947216703	Down	NA
gene-ACSAL1_RS10325	3495.9679229371263	-3.406958818072628	0.14512805495388809	-23.475535582387085	7.253175125814685e-122	1.915309984442772e-120	WP_209387380.1	NA	carboxypeptidase M32	119.71776092736732	Down	NA
gene-ACSAL1_RS17970	805.8828696474393	4.417980877720568	0.1894036675079171	23.325740920702582	2.4301135490368362e-120	6.365329683283586e-119	WP_014419178.1	NA	sucrose-specific PTS transporter subunit IIBC	118.19617909775693	Up	NA
